"Country","Year","Development_Status","Life_Expectancy","Adult_Mortality","Alcohol_Consumption","Hepatitis_B","Polio","Total_Expenditure","Diphtheria","HIV_AIDS","GDP_Per_Capita","Thinness_1_19_Years","Thinness_5_9_Years","Income_Composition_Of_Resources","Average_Years_of_schooling","Country_Code","Region","Mean_Male_Height_cm"
"Afghanistan",2000,"Developing",54.8,321,0.01,62,24,8.2,24,0.1,251.049712303354,2.3,2.5,0.338,5.5,"AFG","Asia",165.3896357
"Albania",2015,"Developing",77.8,74,4.6,99,99,6,99,0.1,1105.26499952889,1.2,1.3,0.762,14.2,"ALB","Europe",173.3888563
"Albania",2014,"Developing",77.5,8,4.51,98,98,5.88,98,0.1,1105.26499952889,1.2,1.3,0.761,14.2,"ALB","Europe",173.4438953
"Albania",2013,"Developing",77.2,84,4.76,99,99,5.66,99,0.1,1105.26499952889,1.3,1.4,0.759,14.2,"ALB","Europe",173.4989242
"Albania",2012,"Developing",76.9,86,5.14,99,99,5.59,99,0.1,1105.26499952889,1.3,1.4,0.752,14.2,"ALB","Europe",173.5541174
"Albania",2011,"Developing",76.6,88,5.37,99,99,5.71,99,0.1,1105.26499952889,1.4,1.5,0.738,13.3,"ALB","Europe",173.6087279
"Albania",2010,"Developing",76.2,91,5.28,99,99,5.34,99,0.1,1105.26499952889,1.4,1.5,0.725,12.5,"ALB","Europe",173.6634553
"Albania",2009,"Developing",76.1,91,5.79,98,98,5.79,98,0.1,1105.26499952889,1.5,1.6,0.721,12.2,"ALB","Europe",173.7178605
"Albania",2008,"Developing",75.3,25.0733046455693,5.61,99,99,5.87,99,0.1,1105.26499952889,1.6,1.6,0.713,12,"ALB","Europe",173.7719013
"Albania",2007,"Developing",75.9,9,5.58,98,99,6.1,98,0.1,1105.26499952889,1.6,1.7,0.703,11.6,"ALB","Europe",173.8245812
"Albania",2006,"Developing",74.2,99,5.31,98,97,5.86,97,0.1,1105.26499952889,1.7,1.8,0.696,11.4,"ALB","Europe",173.8748376
"Albania",2005,"Developing",73.5,15,5.16,98,97,6.12,98,0.1,1105.26499952889,1.8,1.8,0.685,10.8,"ALB","Europe",173.9211807
"Albania",2004,"Developing",73,17,4.54,99,98,6.38,97,0.1,1105.26499952889,1.8,1.9,0.681,10.9,"ALB","Europe",173.9630378
"Albania",2003,"Developing",72.8,18,4.29,97,97,6.27,97,0.1,1105.26499952889,1.9,2,0.674,10.7,"ALB","Europe",173.9999356
"Albania",2002,"Developing",73.3,15,3.73,96,98,6.3,98,0.1,1105.26499952889,2,2.1,0.67,10.7,"ALB","Europe",174.0313185
"Albania",2001,"Developing",73.6,14,4.25,96,97,6,97,0.1,1105.26499952889,2.1,2.1,0.662,10.6,"ALB","Europe",174.0590177
"Albania",2000,"Developing",72.6,11,3.66,96,97,6.26,97,0.1,1105.26499952889,2.1,2.2,0.656,10.7,"ALB","Europe",174.082172
"Algeria",2015,"Developing",75.6,134.69048666972,0.37772132841721,95,95,5.3067355680218,95,0.1,1715.31403339139,6,5.8,0.743,14.4,"DZA","Africa",170.0718002
"Algeria",2014,"Developing",75.4,131.303489234804,0.442039789791991,95,95,7.21,95,0.1,1715.31403339139,6,5.8,0.741,14.4,"DZA","Africa",170.2157974
"Algeria",2013,"Developing",75.3,112,0.53,95,95,7.12,95,0.1,1715.31403339139,5.9,5.8,0.737,14.4,"DZA","Africa",170.3592965
"Algeria",2012,"Developing",75.1,113,0.66,95,95,6.14,95,0.1,1715.31403339139,5.9,5.8,0.732,14.4,"DZA","Africa",170.502638
"Algeria",2011,"Developing",74.9,116,0.56,95,95,5.29,95,0.1,1715.31403339139,5.9,5.8,0.724,14,"DZA","Africa",170.6453718
"Algeria",2010,"Developing",74.7,119,0.45,95,95,5.12,95,0.1,1715.31403339139,5.9,5.8,0.714,13.6,"DZA","Africa",170.7879805
"Algeria",2009,"Developing",74.4,123,0.5,94,94,5.36,95,0.1,1715.31403339139,6,5.9,0.705,13.1,"DZA","Africa",170.9312927
"Algeria",2008,"Developing",74.1,126,0.46,91,92,4.2,93,0.1,1715.31403339139,6,5.9,0.697,12.6,"DZA","Africa",171.0746603
"Algeria",2007,"Developing",73.8,129,0.44,90.4825726374429,95,3.82,95,0.1,1715.31403339139,6,5.9,0.69,12.3,"DZA","Africa",171.2162769
"Algeria",2006,"Developing",73.4,132,0.36,88.1075522647853,95,3.36,95,0.1,1715.31403339139,6.1,6,0.686,12.3,"DZA","Africa",171.3557109
"Algeria",2005,"Developing",72.9,136,0.5,83,88,3.24,88,0.1,1715.31403339139,6.1,6,0.68,12,"DZA","Africa",171.4907542
"Algeria",2004,"Developing",72.3,122.231074922302,0.45,81,86,3.54,86,0.1,1715.31403339139,6.2,6.1,0.673,11.7,"DZA","Africa",171.6189501
"Algeria",2003,"Developing",71.7,146,0.34,100,87,3.6,87,0.1,1715.31403339139,6.3,6.1,0.663,11.5,"DZA","Africa",171.7388166
"Algeria",2002,"Developing",71.6,145,0.36,70.2315334465341,86,3.73,86,0.1,1715.31403339139,6.3,6.2,0.653,11.1,"DZA","Africa",171.8496587
"Algeria",2001,"Developing",71.4,145,0.23,100,89,3.84,89,0.1,1715.31403339139,6.4,6.3,0.644,10.9,"DZA","Africa",171.9510867
"Algeria",2000,"Developing",71.3,145,0.25,53.5508452273962,86,3.49,86,0.1,1715.31403339139,6.5,6.4,0.636,10.7,"DZA","Africa",172.0425902
"Angola",2015,"Developing",52.4,335,3.31137404190551,64,7,3.92014329642079,64,1.9,1203.79109819777,8.3,8.2,0.531,11.4,"AGO","Africa",167.3107273
"Angola",2014,"Developing",51.7,348,8.33,64,68,3.31,64,2,1203.79109819777,8.5,8.3,0.527,11.4,"AGO","Africa",167.4899227
"Angola",2013,"Developing",51.1,355,8.1,77,67,4.26,77,2.3,1203.79109819777,8.6,8.5,0.523,11.4,"AGO","Africa",167.6688227
"Angola",2012,"Developing",56,358,8.24,75,75,3.3,75,2.6,1203.79109819777,8.8,8.6,0.508,10.3,"AGO","Africa",167.8480603
"Angola",2011,"Developing",51,361,8.06,72,73,3.38,71,2.5,1203.79109819777,8.9,8.8,0.495,9.4,"AGO","Africa",168.0276195
"Angola",2010,"Developing",49.6,365,7.8,77,81,3.39,77,2.5,1203.79109819777,9.1,9,0.488,9,"AGO","Africa",168.2065796
"Angola",2009,"Developing",49.1,369,7.01,61,63,4.37,6,2.5,1203.79109819777,9.3,9.2,0.48,8.5,"AGO","Africa",168.3844385
"Angola",2008,"Developing",48.7,371,7.07,69,65,3.84,69,2.6,1203.79109819777,9.5,9.4,0.468,8.1,"AGO","Africa",168.55946
"Angola",2007,"Developing",48.2,375,6.35,73,75,3.38,73,2.6,1203.79109819777,9.6,9.6,0.454,7.7,"AGO","Africa",168.7288957
"Angola",2006,"Developing",47.7,381,5.84,74.1904583588674,36,4.54,34,2.5,1203.79109819777,9.8,9.7,0.439,7.2,"AGO","Africa",168.8917837
"Angola",2005,"Developing",47.4,382,5.04,68.6544977076934,39,4.1,38,2.6,1203.79109819777,1,9.9,0.426,6.8,"AGO","Africa",169.0455025
"Angola",2004,"Developing",47.1,386,3.53,66.7779249473766,4,4.71,4,2.5,1203.79109819777,1.2,1.1,0.415,6.4,"AGO","Africa",169.18836
"Angola",2003,"Developing",46.8,388,3.49,78.6843334269952,4,4.41,4,2.4,1203.79109819777,1.4,1.3,0.406,5.9,"AGO","Africa",169.318901
"Angola",2002,"Developing",46.5,391,2.82,73.2560053153325,37,3.63,41,2.3,1203.79109819777,1.5,1.5,0.401,5.5,"AGO","Africa",169.4371074
"Angola",2001,"Developing",45.7,396.637935572545,2.58,66.0092048043883,41,5.38,38,2.1,1203.79109819777,1.7,1.7,0.391,5.1,"AGO","Africa",169.5437257
"Angola",2000,"Developing",45.3,339.855501924189,1.85,78.7857967670421,3,2.79,28,2,1203.79109819777,1.9,1.9,0.382,4.6,"AGO","Africa",169.6381431
"Antigua and Barbuda",2015,"Developing",76.4,126.412069668985,7.87748017563436,99,86,5.97559584632673,99,0.2,7771.69495443617,3.3,3.3,0.784,13.9,"ATG","North America",172.7069903
"Antigua and Barbuda",2014,"Developing",76.2,131,8.56,99,96,5.54,99,0.2,7771.69495443617,3.3,3.3,0.782,13.9,"ATG","North America",172.6850575
"Antigua and Barbuda",2013,"Developing",76.1,133,8.58,99,98,5.33,99,0.2,7771.69495443617,3.3,3.3,0.781,13.9,"ATG","North America",172.6630327
"Antigua and Barbuda",2012,"Developing",75.9,134,8.18,98,97,5.39,98,0.2,7771.69495443617,3.3,3.3,0.778,13.8,"ATG","North America",172.6406552
"Antigua and Barbuda",2011,"Developing",75.7,136,7.84,99,99,5.65,99,0.1,7771.69495443617,3.3,3.3,0.782,14.1,"ATG","North America",172.6180381
"Antigua and Barbuda",2010,"Developing",75.6,138,7.84,98,99,5.63,98,0.1,7771.69495443617,3.3,3.3,0.783,14.1,"ATG","North America",172.5966367
"Antigua and Barbuda",2009,"Developing",75.4,145.796975364888,7.82,98,98,4.86,99,0.1,7771.69495443617,3.4,3.3,0.788,14.2,"ATG","North America",172.5775578
"Antigua and Barbuda",2008,"Developing",75.2,142,8.27,98,99,4.69,99,0.1,7771.69495443617,3.4,3.3,0.786,14.4,"ATG","North America",172.5615023
"Antigua and Barbuda",2007,"Developing",75,144,8.64,97,98,4.27,99,0.1,7771.69495443617,3.4,3.3,0.781,14.5,"ATG","North America",172.5484157
"Antigua and Barbuda",2006,"Developing",74.8,145,8.93,99,99,4.34,99,0.1,7771.69495443617,3.4,3.4,0.773,14.7,"ATG","North America",172.5381747
"Antigua and Barbuda",2005,"Developing",74.6,147,8.15,99,98,4.41,99,0.1,7771.69495443617,3.5,3.4,0,0,"ATG","North America",172.5295634
"Antigua and Barbuda",2004,"Developing",74.4,149,7.28,97,97,4.21,97,0.1,7771.69495443617,3.5,3.4,0,0,"ATG","North America",172.5228219
"Antigua and Barbuda",2003,"Developing",74.2,151,7.16,99,99,4.53,99,0.1,7771.69495443617,3.5,3.5,0,0,"ATG","North America",172.5166275
"Antigua and Barbuda",2002,"Developing",74,153,7.21,99,93,4.41,98,0.1,7771.69495443617,3.6,3.5,0,0,"ATG","North America",172.5103172
"Antigua and Barbuda",2001,"Developing",73.8,154,7.51,96,99,4.48,97,0.1,7771.69495443617,3.6,3.5,0,0,"ATG","North America",172.5036928
"Antigua and Barbuda",2000,"Developing",73.6,156,7.27,98.7807185697629,96,4.13,95,0.1,7771.69495443617,3.7,3.6,0,0,"ATG","North America",172.4957725
"Argentina",2015,"Developing",76.3,116,8.03044928212767,94,93,8.25156556623937,94,0.1,4345.61272446814,1,0.9,0.826,17.3,"ARG","South America",174.6157252
"Argentina",2014,"Developing",76.2,118,7.93,94,92,4.79,94,0.1,4345.61272446814,1,0.9,0.825,17.3,"ARG","South America",174.5608744
"Argentina",2013,"Developing",76,119,8.28,94,99,4.99,94,0.1,4345.61272446814,1,0.9,0.823,17.3,"ARG","South America",174.505923
"Argentina",2012,"Developing",75.9,100.16665654732,8.35,91,99,5.2,91,0.1,4345.61272446814,1,0.9,0.822,17.2,"ARG","South America",174.450893
"Argentina",2011,"Developing",75.7,166.584161826707,8.11,91,93,5.89,91,0.1,4345.61272446814,1,0.9,0.816,17.1,"ARG","South America",174.3961483
"Argentina",2010,"Developing",75.5,121,8.15,94,95,6.55,94,0.1,4345.61272446814,1,0.9,0.802,16.8,"ARG","South America",174.342935
"Argentina",2009,"Developing",75.6,126,8.33,94,97,7.63,94,0.1,4345.61272446814,1,0.9,0.794,16.5,"ARG","South America",174.2919649
"Argentina",2008,"Developing",75.4,126,8.41,98.2401057593123,94,6.66,93,0.1,4345.61272446814,1,0.9,0.792,16.3,"ARG","South America",174.2433016
"Argentina",2007,"Developing",74.8,129,8.16,85,92,6.49,91,0.1,4345.61272446814,1.1,0.9,0.788,16.3,"ARG","South America",174.1953468
"Argentina",2006,"Developing",75.2,127,7.75,84,92,6.68,91,0.1,4345.61272446814,1.1,0.9,0.782,16.1,"ARG","South America",174.1474837
"Argentina",2005,"Developing",74.9,127,7.53,88,95,6.85,98,0.1,4345.61272446814,1.1,1,0.78,16.3,"ARG","South America",174.09778
"Argentina",2004,"Developing",74.7,92.5040517043959,7.63,81,91,6.84,98,0.1,4345.61272446814,1.1,1,0.775,16.3,"ARG","South America",174.0450401
"Argentina",2003,"Developing",74.1,137,7.62,73,95,8.22,96,0.1,4345.61272446814,1.2,1,0.77,16.4,"ARG","South America",173.9904028
"Argentina",2002,"Developing",74.1,138,7.81,66,94,8.31,93,0.1,4345.61272446814,1.2,1,0.776,16.3,"ARG","South America",173.9330646
"Argentina",2001,"Developing",74,138,7.76,72.5024998576016,85,9.38,83,0.1,4345.61272446814,1.2,1.1,0.771,15.6,"ARG","South America",173.8729394
"Argentina",2000,"Developing",74.1,137,7.68,94.3307841339399,88,9.21,83,0.1,4345.61272446814,1.2,1.1,0.764,15,"ARG","South America",173.8100463
"Armenia",2015,"Developing",74.8,118,3.40115429249275,94,96,4.13630866989223,94,0.1,1169.74071535526,2.1,2.2,0.741,12.7,"ARM","Asia",171.9966462
"Armenia",2014,"Developing",74.6,133.936710861967,3.91,93,95,4.48,93,0.1,1169.74071535526,2.1,2.1,0.739,12.7,"ARM","Asia",172.0467921
"Armenia",2013,"Developing",74.4,123,3.79,95,96,4.55,95,0.1,1169.74071535526,2.1,2.1,0.736,12.7,"ARM","Asia",172.0968316
"Armenia",2012,"Developing",74.4,121,3.89,95,96,4.48,95,0.1,1169.74071535526,2,2.1,0.732,12.7,"ARM","Asia",172.1467101
"Armenia",2011,"Developing",73.9,128,4.09,95,96,3.71,95,0.1,1169.74071535526,2,2.1,0.729,12.7,"ARM","Asia",172.196104
"Armenia",2010,"Developing",73.5,132,4.23,94,96,4.56,94,0.1,1169.74071535526,2,2.1,0.72,12.3,"ARM","Asia",172.2449727
"Armenia",2009,"Developing",73.3,137,3.96,93,94,4.55,93,0.1,1169.74071535526,2,2.1,0.725,11.9,"ARM","Asia",172.2938985
"Armenia",2008,"Developing",73.2,151.790607758576,3.96,89,91,3.8,89,0.1,1169.74071535526,2,2.1,0.721,12.3,"ARM","Asia",172.3421108
"Armenia",2007,"Developing",73.5,132,3.99,85,9,4.31,88,0.1,1169.74071535526,2,2.1,0.707,11.7,"ARM","Asia",172.3878061
"Armenia",2006,"Developing",72.9,141,4.01,78,87,4.58,87,0.1,1169.74071535526,2,2.1,0.692,11.2,"ARM","Asia",172.4306613
"Armenia",2005,"Developing",73,137,4.25,91,92,5.25,9,0.1,1169.74071535526,2,2.1,0.679,10.9,"ARM","Asia",172.4696677
"Armenia",2004,"Developing",73,132,3.81,91,93,5.5,91,0.1,1169.74071535526,2,2.1,0.668,10.9,"ARM","Asia",172.5031164
"Armenia",2003,"Developing",72.7,134,3.03,93,96,5.56,94,0.1,1169.74071535526,2,2.1,0.657,10.8,"ARM","Asia",172.5305228
"Armenia",2002,"Developing",72.6,134,2.86,91,96,5.4,94,0.1,1169.74071535526,2.1,2.1,0.645,10.8,"ARM","Asia",172.5512453
"Armenia",2001,"Developing",72.6,141,2.86,69,97,5.94,94,0.1,1169.74071535526,2.1,2.1,0.644,11.1,"ARM","Asia",172.5659482
"Armenia",2000,"Developing",72,142,2.9,55,96,6.25,93,0.1,1169.74071535526,2.1,2.2,0.639,11.2,"ARM","Asia",172.5741839
"Australia",2015,"Developed",82.8,59,9.76702875748448,93,93,8.68010864830694,93,0.1,17331.7225275951,0.6,0.6,0.937,20.4,"AUS","Oceania",179.2046477
"Australia",2014,"Developed",82.7,65.7984966438759,9.71,91,92,9.42,92,0.1,17331.7225275951,0.6,0.6,0.936,20.4,"AUS","Oceania",179.1948569
"Australia",2013,"Developed",82.5,61,9.87,91,91,9.36,91,0.1,17331.7225275951,0.6,0.6,0.933,20.3,"AUS","Oceania",179.1848577
"Australia",2012,"Developed",82.3,61,10.03,91,92,9.36,92,0.1,17331.7225275951,0.6,0.6,0.93,20.1,"AUS","Oceania",179.1749856
"Australia",2011,"Developed",82,63,10.3,92,92,9.2,92,0.1,17331.7225275951,0.6,0.6,0.927,19.8,"AUS","Oceania",179.1650193
"Australia",2010,"Developed",81.9,64,10.52,92,92,9.2,92,0.1,17331.7225275951,0.7,0.6,0.927,19.5,"AUS","Oceania",179.155356
"Australia",2009,"Developed",81.7,66,10.62,94,92,9.5,92,0.1,17331.7225275951,0.7,0.6,0.925,19.1,"AUS","Oceania",179.1461312
"Australia",2008,"Developed",81.3,66,10.76,94,92,8.78,92,0.1,17331.7225275951,0.7,0.6,0.921,19.1,"AUS","Oceania",179.1366608
"Australia",2007,"Developed",81.3,66,10.56,94,92,8.53,92,0.1,17331.7225275951,0.7,0.6,0.918,19,"AUS","Oceania",179.1256117
"Australia",2006,"Developed",81.2,66,10.31,95,92,8.49,92,0.1,17331.7225275951,0.7,0.6,0.915,20.3,"AUS","Oceania",179.1133698
"Australia",2005,"Developed",81,67,10.3,95,92,8.45,92,0.1,17331.7225275951,0.7,0.6,0.91,20.3,"AUS","Oceania",179.0977845
"Australia",2004,"Developed",86,69,9.84,95,92,8.57,92,0.1,17331.7225275951,0.7,0.6,0.908,20.7,"AUS","Oceania",179.0775723
"Australia",2003,"Developed",83,71,9.97,95,92,8.32,93,0.1,17331.7225275951,0.7,0.7,0.905,20.6,"AUS","Oceania",179.0519456
"Australia",2002,"Developed",79.9,73,9.84,95,92,8.39,92,0.1,17331.7225275951,0.7,0.7,0.902,20.1,"AUS","Oceania",179.0205834
"Australia",2001,"Developed",79.9,75,9.53,94,91,8.18,92,0.1,17331.7225275951,0.7,0.7,0.899,20.5,"AUS","Oceania",178.9839317
"Australia",2000,"Developed",79.5,78,10.17,92.4070861779555,9,8.8,9,0.1,17331.7225275951,0.7,0.7,0.897,20.4,"AUS","Oceania",178.9423427
"Austria",2015,"Developed",81.5,65,12.4723923636581,93,93,8.6318565458474,93,0.1,19707.8391575096,1.9,2.1,0.892,15.9,"AUT","Europe",177.4077047
"Austria",2014,"Developed",81.4,66,12.32,98,98,11.21,98,0.1,19707.8391575096,1.8,2,0.892,15.9,"AUT","Europe",177.4365234
"Austria",2013,"Developed",81.1,68,11.82,95,95,11.14,95,0.1,19707.8391575096,1.8,2,0.887,15.7,"AUT","Europe",177.4655077
"Austria",2012,"Developed",88,84.5396236009112,12.26,92,92,11.17,92,0.1,19707.8391575096,1.8,2,0.884,15.7,"AUT","Europe",177.4943908
"Austria",2011,"Developed",88,73,12.04,89,89,1.94,89,0.1,19707.8391575096,1.7,2,0.88,15.7,"AUT","Europe",177.523211
"Austria",2010,"Developed",84,75,12.1,86,86,11.17,86,0.1,19707.8391575096,1.7,1.9,0.872,15.4,"AUT","Europe",177.5527684
"Austria",2009,"Developed",82,77,11.3,83,83,11.19,83,0.1,19707.8391575096,1.7,1.9,0.87,15.3,"AUT","Europe",177.5833994
"Austria",2008,"Developed",84,76,12,83,83,1.6,83,0.1,19707.8391575096,1.7,1.9,0.864,15.1,"AUT","Europe",177.6143945
"Austria",2007,"Developed",81,76.7296639058895,12.5,85,85,1.4,85,0.1,19707.8391575096,1.7,1.9,0.86,15.2,"AUT","Europe",177.6452381
"Austria",2006,"Developed",79.8,81,12.4,83,83,1.35,83,0.1,19707.8391575096,1.7,1.9,0.854,15,"AUT","Europe",177.675925
"Austria",2005,"Developed",79.4,85,12.4,86,86,1.53,86,0.1,19707.8391575096,1.7,1.9,0.848,14.9,"AUT","Europe",177.7053022
"Austria",2004,"Developed",79.3,86,12.1,83,83,1.56,83,0.1,19707.8391575096,1.7,1.9,0.841,14.7,"AUT","Europe",177.7323642
"Austria",2003,"Developed",78.8,88,12.2,83,84,1.48,84,0.1,19707.8391575096,1.7,1.9,0.837,14.7,"AUT","Europe",177.7567014
"Austria",2002,"Developed",78.7,87.245594911076,12.5,81,82,1.27,83,0.1,19707.8391575096,1.7,1.9,0.847,16.1,"AUT","Europe",177.7781558
"Austria",2001,"Developed",78.6,92,12.4,44,83,1.12,84,0.1,19707.8391575096,1.7,1.9,0.837,15.5,"AUT","Europe",177.7974356
"Austria",2000,"Developed",78.1,96,13.2,33,71,1.6,81,0.1,19707.8391575096,1.7,1.9,0.833,15.4,"AUT","Europe",177.8156317
"Azerbaijan",2015,"Developing",72.7,118,0.153378576682746,96,98,5.94827402026463,96,0.1,1398.02869007084,2.8,2.9,0.758,12.7,"AZE","Asia",169.7494329
"Azerbaijan",2014,"Developing",72.5,119,0.518484585883298,94,97,6.4,94,0.1,1398.02869007084,2.8,2.9,0.752,12.2,"AZE","Asia",169.8867095
"Azerbaijan",2013,"Developing",72.2,121,2.14,93,96,5.54,93,0.1,1398.02869007084,2.8,2.8,0.745,11.9,"AZE","Asia",170.0238429
"Azerbaijan",2012,"Developing",71.9,123,0.875391705994563,88,92,5.37,89,0.1,1398.02869007084,2.8,2.8,0.742,11.8,"AZE","Asia",170.1611111
"Azerbaijan",2011,"Developing",71.6,125,1.98,84,91,5.1,87,0.1,1398.02869007084,2.8,2.9,0.741,11.7,"AZE","Asia",170.2978481
"Azerbaijan",2010,"Developing",71.1,136.018329819658,1.98,62.6438581784189,85,5.33,81,0.1,1398.02869007084,2.8,2.9,0.737,11.7,"AZE","Asia",170.434073
"Azerbaijan",2009,"Developing",78,132,2.1,74,84,5.85,81,0.1,1398.02869007084,2.8,2.9,0.728,11.6,"AZE","Asia",170.5706115
"Azerbaijan",2008,"Developing",73,141,1.18,68,85,4.37,81,0.1,1398.02869007084,2.8,2.9,0.719,11.6,"AZE","Asia",170.7063229
"Azerbaijan",2007,"Developing",73,130.293341440664,1.02,62,81,5.1,79,0.1,1398.02869007084,2.8,2.9,0.708,11.6,"AZE","Asia",170.8397911
"Azerbaijan",2006,"Developing",69.2,154,0.85,52,8,6.17,78,0.1,1398.02869007084,2.9,2.9,0.682,10.7,"AZE","Asia",170.97075
"Azerbaijan",2005,"Developing",68.4,162,0.73,49,79,7.86,75,0.1,1398.02869007084,2.9,3,0.675,11.2,"AZE","Asia",171.0978878
"Azerbaijan",2004,"Developing",68.4,154,0.62,62.1244371876584,78,7.92,77,0.1,1398.02869007084,3,3,0.668,11,"AZE","Asia",171.2189521
"Azerbaijan",2003,"Developing",67.8,154,0.55,51,79,6.56,77,0.1,1398.02869007084,3,3,0.659,10.8,"AZE","Asia",171.3336153
"Azerbaijan",2002,"Developing",67.8,146,0.55,63.9403669887192,8,4.47,76,0.1,1398.02869007084,3.1,3.1,0.651,10.6,"AZE","Asia",171.4411139
"Azerbaijan",2001,"Developing",67.5,151,0.51,100,77,4.48,77,0.1,1398.02869007084,3.1,3.1,0.642,10.4,"AZE","Asia",171.541779
"Azerbaijan",2000,"Developing",66.6,125.401653204724,0.65,52.0721708402306,75,4.67,76,0.1,1398.02869007084,3.2,3.1,0.636,10.1,"AZE","Asia",171.6348639
"Bahamas",2015,"Developing",76.1,147,11.1509056101879,95,95,7.1813241475676,95,0.1,NA,2.5,2.5,0.79,12.6,"BHS","North America",172.7466298
"Bahamas",2014,"Developing",75.4,162.41003269035,9.45,96,96,7.74,96,0.1,NA,2.5,2.5,0.789,12.6,"BHS","North America",172.7246229
"Bahamas",2013,"Developing",74.8,172,9.42,97,97,7.5,97,0.1,NA,2.5,2.5,0.79,12.6,"BHS","North America",172.7025273
"Bahamas",2012,"Developing",74.9,167,9.5,96,99,7.43,98,0.2,NA,2.5,2.5,0.789,12.6,"BHS","North America",172.6799929
"Bahamas",2011,"Developing",75,162,9.34,95,97,7.63,98,0.1,NA,2.5,2.5,0.788,12.6,"BHS","North America",172.657401
"Bahamas",2010,"Developing",75,161,9.19,98,97,7.44,99,0.2,NA,2.5,2.5,0.788,12.6,"BHS","North America",172.6359124
"Bahamas",2009,"Developing",74.6,168,9.29,95,97,7.43,96,0.1,NA,2.5,2.5,0.791,12.6,"BHS","North America",172.6169784
"Bahamas",2008,"Developing",74.5,167,10.15,100,93,7.3,93,0.1,NA,2.5,2.5,0.791,12.6,"BHS","North America",172.6010317
"Bahamas",2007,"Developing",74.4,167,10.75,93,95,7.8,95,0.1,NA,2.5,2.5,0.79,12.5,"BHS","North America",172.5878294
"Bahamas",2006,"Developing",74.2,171,11.07,96,94,6.93,95,0.1,NA,2.5,2.5,0.788,12.4,"BHS","North America",172.5770535
"Bahamas",2005,"Developing",74.1,172,10.49,93,93,5.95,93,0.1,NA,2.6,2.5,0.786,12.4,"BHS","North America",172.5677097
"Bahamas",2004,"Developing",73.8,174,10.1,93,92,6.2,93,0.1,NA,2.6,2.5,0.784,12.3,"BHS","North America",172.559957
"Bahamas",2003,"Developing",73.2,189,10.68,88,93,5.62,92,0.1,NA,2.6,2.5,0.783,12.2,"BHS","North America",172.5532158
"Bahamas",2002,"Developing",73.1,151.294516971894,10.85,89,93,5.26,94,0.1,NA,2.6,2.6,0.781,12.1,"BHS","North America",172.5463556
"Bahamas",2001,"Developing",72.9,189,11.64,21,98,5.15,99,0.2,NA,2.7,2.6,0.779,12.1,"BHS","North America",172.5391627
"Bahamas",2000,"Developing",72.6,192,12.15,42.8360765237063,91,5.21,99,0.1,NA,2.7,2.6,0,12,"BHS","North America",172.5307477
